,Municipality,Births,Farc Violence,Total Violence,Ratio,post15,FARC,post13,Month,Year
0,73624,1709,4,4,1.0,0,0,0,9,2012
0,73675,1543,1,1,1.0,0,0,0,4,2012
0,73675,1575,0,1,0.0,0,0,0,6,2012
0,73678,1329,0,1,0.0,0,0,0,2,2012
0,73861,1329,0,1,0.0,0,0,0,2,2012
0,73870,1329,0,1,0.0,0,0,0,2,2012
0,73873,1548,1,1,1.0,0,0,0,5,2012
0,73873,1575,1,1,1.0,0,0,0,6,2012
0,73873,1615,1,1,1.0,0,0,0,7,2012
0,73873,1529,0,1,0.0,0,0,0,12,2012
0,76001,4801,0,3,0.0,0,0,0,1,2012
0,76001,4280,0,4,0.0,0,0,0,2,2012
0,76001,4750,1,5,0.2,0,0,0,3,2012
0,76001,4531,1,3,0.3333333333333333,0,0,0,4,2012
0,76001,4750,2,4,0.5,0,0,0,5,2012
0,76001,4727,1,5,0.2,0,0,0,6,2012
0,76001,4911,0,4,0.0,0,0,0,7,2012
0,76001,5065,1,6,0.16666666666666666,0,0,0,8,2012
0,76001,5226,0,8,0.0,0,0,0,9,2012
0,76001,4808,2,9,0.2222222222222222,0,0,0,10,2012
0,76001,4642,1,5,0.2,0,0,1,11,2012
0,76001,4708,0,8,0.0,0,0,0,12,2012
0,76036,5226,0,1,0.0,0,0,0,9,2012
0,76054,4750,0,1,0.0,0,0,0,5,2012
0,76100,4531,0,1,0.0,0,0,0,4,2012
0,76109,4801,1,14,0.07142857142857142,0,0,0,1,2012
0,76109,4280,1,7,0.14285714285714285,0,0,0,2,2012
0,76109,4750,1,5,0.2,0,0,0,3,2012
0,76109,4531,1,3,0.3333333333333333,0,0,0,4,2012
0,76109,4750,0,5,0.0,0,0,0,5,2012
0,76109,4727,2,5,0.4,0,0,0,6,2012
0,76109,4911,2,5,0.4,0,0,0,7,2012
0,76109,5065,2,5,0.4,0,0,0,8,2012
0,76109,5226,2,6,0.3333333333333333,0,0,0,9,2012
0,76109,4808,0,4,0.0,0,0,0,10,2012
0,76109,4642,1,13,0.07692307692307693,0,0,1,11,2012
0,76109,4708,0,6,0.0,0,0,0,12,2012
0,76111,4801,0,2,0.0,0,0,0,1,2012
0,76111,4750,1,1,1.0,0,0,0,3,2012
0,76111,4727,2,2,1.0,0,0,0,6,2012
0,76111,4911,0,1,0.0,0,0,0,7,2012
0,76111,5065,1,2,0.5,0,0,0,8,2012
0,76111,5226,1,2,0.5,0,0,0,9,2012
0,76111,4808,3,6,0.5,0,0,0,10,2012
0,76111,4642,0,1,0.0,0,0,1,11,2012
0,76111,4708,0,2,0.0,0,0,0,12,2012
0,76113,4801,1,1,1.0,0,0,0,1,2012
0,76113,4531,1,1,1.0,0,0,0,4,2012
0,76113,4808,0,1,0.0,0,0,0,10,2012
0,76122,4280,0,1,0.0,0,0,0,2,2012
0,76126,4750,0,1,0.0,0,0,0,3,2012
