Region,Total_births,Year
15667 San Luis de Gaceno,65,2010
15667 San Luis de Gaceno,73,2011
15667 San Luis de Gaceno,78,2012
15667 San Luis de Gaceno,62,2013
15667 San Luis de Gaceno,71,2014
15667 San Luis de Gaceno,56,2015
15667 San Luis de Gaceno,41,2016
15667 San Luis de Gaceno,45,2017
15673 SAN MATEO,45,2008
15673 SAN MATEO,60,2009
15673 San Mateo,67,2010
15673 San Mateo,43,2011
15673 San Mateo,58,2012
15673 San Mateo,41,2013
15673 San Mateo,32,2014
15673 San Mateo,39,2015
15673 San Mateo,38,2016
15673 San Mateo,34,2017
15676 SAN MIGUEL DE SEMA,58,2008
15676 SAN MIGUEL DE SEMA,49,2009
15676 San Miguel de Sema,57,2010
15676 San Miguel de Sema,39,2011
15676 San Miguel de Sema,38,2012
15676 San Miguel de Sema,49,2013
15676 San Miguel de Sema,42,2014
15676 San Miguel de Sema,45,2015
15676 San Miguel de Sema,29,2016
15676 San Miguel de Sema,33,2017
15681 SAN PABLO DE BORBUR,121,2008
15681 SAN PABLO DE BORBUR,91,2009
15681 San Pablo de Borbur,91,2010
15681 San Pablo de Borbur,85,2011
15681 San Pablo de Borbur,66,2012
15681 San Pablo de Borbur,71,2013
15681 San Pablo de Borbur,70,2014
15681 San Pablo de Borbur,58,2015
15681 San Pablo de Borbur,71,2016
15681 San Pablo de Borbur,55,2017
15686 SANTANA,138,2008
15686 SANTANA,118,2009
15686 Santana,101,2010
15686 Santana,101,2011
15686 Santana,84,2012
15686 Santana,86,2013
15686 Santana,88,2014
15686 Santana,112,2015
15686 Santana,102,2016
15686 Santana,91,2017
15690 SANTA MARÍA,53,2008
15690 SANTA MARÍA,43,2009
15690 Santa María,56,2010
15690 Santa María,48,2011
15690 Santa María,33,2012
15690 Santa María,40,2013
15690 Santa María,24,2014
15690 Santa María,28,2015
15690 Santa María,29,2016
15690 Santa María,24,2017
15693 SANTA ROSA DE VITERBO,148,2008
15693 SANTA ROSA DE VITERBO,143,2009
15693 Santa Rosa de Viterbo,136,2010
15693 Santa Rosa de Viterbo,114,2011
15693 Santa Rosa de Viterbo,139,2012
15693 Santa Rosa de Viterbo,122,2013
15693 Santa Rosa de Viterbo,106,2014
15693 Santa Rosa de Viterbo,111,2015
15693 Santa Rosa de Viterbo,106,2016
15693 Santa Rosa de Viterbo,97,2017
15696 SANTA SOFÍA,39,2008
15696 SANTA SOFÍA,38,2009
15696 Santa Sofía,46,2010
15696 Santa Sofía,41,2011
15696 Santa Sofía,45,2012
15696 Santa Sofía,28,2013
15696 Santa Sofía,30,2014
15696 Santa Sofía,43,2015
15696 Santa Sofía,40,2016
15696 Santa Sofía,41,2017
15720 SATIVANORTE,25,2008
15720 SATIVANORTE,33,2009
15720 Sativanorte,28,2010
15720 Sativanorte,20,2011
15720 Sativanorte,17,2012
15720 Sativanorte,28,2013
15720 Sativanorte,11,2014
15720 Sativanorte,16,2015
15720 Sativanorte,9,2016
15720 Sativanorte,12,2017
15723 SATIVASUR,16,2008
15723 SATIVASUR,9,2009
15723 Sativasur,19,2010
15723 Sativasur,11,2011
15723 Sativasur,12,2012
15723 Sativasur,12,2013
15723 Sativasur,8,2014
15723 Sativasur,6,2015
15723 Sativasur,8,2016
15723 Sativasur,5,2017
15740 SIACHOQUE,140,2008
15740 SIACHOQUE,156,2009
15740 Siachoque,156,2010
15740 Siachoque,167,2011
15740 Siachoque,162,2012
15740 Siachoque,149,2013
15740 Siachoque,110,2014
15740 Siachoque,116,2015
15740 Siachoque,128,2016
15740 Siachoque,105,2017
15753 SOATÁ,108,2008
15753 SOATÁ,126,2009
15753 Soatá,87,2010
15753 Soatá,92,2011
15753 Soatá,114,2012
15753 Soatá,98,2013
15753 Soatá,106,2014
15753 Soatá,113,2015
15753 Soatá,84,2016
15753 Soatá,106,2017
15755 SOCOTÁ,142,2008
15755 SOCOTÁ,158,2009
15755 Socotá,148,2010
15755 Socotá,173,2011
15755 Socotá,127,2012
15755 Socotá,119,2013
15755 Socotá,107,2014
15755 Socotá,77,2015
15755 Socotá,91,2016
15755 Socotá,64,2017
15757 SOCHA,149,2008
15757 SOCHA,154,2009
15757 Socha,132,2010
15757 Socha,139,2011
15757 Socha,139,2012
15757 Socha,128,2013
15757 Socha,105,2014
15757 Socha,89,2015
15757 Socha,80,2016
15757 Socha,91,2017
15759 SOGAMOSO,1993,2008
15759 SOGAMOSO,2075,2009
15759 Sogamoso,1836,2010
15759 Sogamoso,1815,2011
15759 Sogamoso,1775,2012
15759 Sogamoso,1675,2013
15759 Sogamoso,1776,2014
15759 Sogamoso,1742,2015
15759 Sogamoso,1787,2016
15759 Sogamoso,1668,2017
15761 SOMONDOCO,23,2008
15761 SOMONDOCO,27,2009
15761 Somondoco,25,2010
15761 Somondoco,34,2011
15761 Somondoco,25,2012
15761 Somondoco,14,2013
15761 Somondoco,12,2014
15761 Somondoco,17,2015
15761 Somondoco,11,2016
15761 Somondoco,11,2017
15762 SORA,30,2008
15762 SORA,32,2009
15762 Sora,35,2010
15762 Sora,58,2011
15762 Sora,36,2012
15762 Sora,33,2013
15762 Sora,26,2014
15762 Sora,32,2015
15762 Sora,33,2016
15762 Sora,40,2017
15763 SOTAQUIRÁ,116,2008
15763 SOTAQUIRÁ,114,2009
15763 Sotaquirá,110,2010
15763 Sotaquirá,103,2011
15763 Sotaquirá,100,2012
15763 Sotaquirá,104,2013
15763 Sotaquirá,105,2014
15763 Sotaquirá,79,2015
15763 Sotaquirá,93,2016
15763 Sotaquirá,75,2017
15764 SORACÁ,97,2008
15764 SORACÁ,105,2009
15764 Soracá,113,2010
15764 Soracá,109,2011
15764 Soracá,101,2012
15764 Soracá,110,2013
15764 Soracá,92,2014
15764 Soracá,94,2015
15764 Soracá,82,2016
15764 Soracá,106,2017
15774 SUSACÓN,31,2008
15774 SUSACÓN,26,2009
15774 Susacón,24,2010
15774 Susacón,35,2011
15774 Susacón,29,2012
15774 Susacón,33,2013
15774 Susacón,16,2014
15774 Susacón,16,2015
15774 Susacón,18,2016
15774 Susacón,18,2017
15776 SUTAMARCHÁN,93,2008
15776 SUTAMARCHÁN,53,2009
15776 Sutamarchán,75,2010
15776 Sutamarchán,84,2011
15776 Sutamarchán,82,2012
15776 Sutamarchán,60,2013
15776 Sutamarchán,60,2014
15776 Sutamarchán,66,2015
15776 Sutamarchán,60,2016
15776 Sutamarchán,62,2017
15778 SUTATENZA,58,2008
15778 SUTATENZA,36,2009
15778 Sutatenza,43,2010
15778 Sutatenza,30,2011
15778 Sutatenza,35,2012
15778 Sutatenza,30,2013
15778 Sutatenza,29,2014
15778 Sutatenza,31,2015
15778 Sutatenza,28,2016
15778 Sutatenza,27,2017
15790 TASCO,109,2008
15790 TASCO,110,2009
15790 Tasco,103,2010
15790 Tasco,106,2011
15790 Tasco,84,2012
15790 Tasco,85,2013
15790 Tasco,69,2014
15790 Tasco,63,2015
15790 Tasco,65,2016
15790 Tasco,64,2017
15798 TENZA,47,2008
15798 TENZA,51,2009
15798 Tenza,34,2010
15798 Tenza,38,2011
15798 Tenza,33,2012
15798 Tenza,38,2013
15798 Tenza,25,2014
15798 Tenza,23,2015
15798 Tenza,23,2016
15798 Tenza,15,2017
15804 TIBANÁ,131,2008
15804 TIBANÁ,92,2009
15804 Tibaná,103,2010
15804 Tibaná,114,2011
15804 Tibaná,100,2012
15804 Tibaná,101,2013
15804 Tibaná,96,2014
15804 Tibaná,82,2015
15804 Tibaná,96,2016
15804 Tibaná,81,2017
15806 TIBASOSA,155,2008
15806 TIBASOSA,151,2009
15806 Tibasosa,142,2010
15806 Tibasosa,140,2011
15806 Tibasosa,150,2012
15806 Tibasosa,125,2013
15806 Tibasosa,148,2014
15806 Tibasosa,124,2015
15806 Tibasosa,130,2016
15806 Tibasosa,137,2017
15808 TINJACÁ,35,2008
15808 TINJACÁ,24,2009
15808 Tinjacá,32,2010
15808 Tinjacá,28,2011
15808 Tinjacá,41,2012
15808 Tinjacá,28,2013
15808 Tinjacá,27,2014
15808 Tinjacá,32,2015
15808 Tinjacá,33,2016
15808 Tinjacá,22,2017
15810 TIPACOQUE,51,2008
15810 TIPACOQUE,59,2009
15810 Tipacoque,59,2010
15810 Tipacoque,38,2011
15810 Tipacoque,53,2012
15810 Tipacoque,42,2013
15810 Tipacoque,38,2014
15810 Tipacoque,36,2015
15810 Tipacoque,35,2016
15810 Tipacoque,31,2017
15814 TOCA,159,2008
15814 TOCA,178,2009
15814 Toca,189,2010
15814 Toca,179,2011
15814 Toca,165,2012
15814 Toca,150,2013
15814 Toca,124,2014
15814 Toca,166,2015
15814 Toca,134,2016
15814 Toca,151,2017
15816 TOGÜÍ,90,2008
15816 TOGÜÍ,61,2009
15816 Togüí,62,2010
15816 Togüí,65,2011
15816 Togüí,57,2012
15816 Togüí,45,2013
15816 Togüí,65,2014
15816 Togüí,40,2015
15816 Togüí,57,2016
15816 Togüí,48,2017
15820 TÓPAGA,63,2008
15820 TÓPAGA,57,2009
15820 Tópaga,55,2010
15820 Tópaga,61,2011
15820 Tópaga,61,2012
15820 Tópaga,57,2013
15820 Tópaga,50,2014
15820 Tópaga,44,2015
15820 Tópaga,56,2016
15820 Tópaga,54,2017
15822 TOTA,108,2008
15822 TOTA,90,2009
15822 Tota,83,2010
15822 Tota,90,2011
15822 Tota,91,2012
15822 Tota,81,2013
15822 Tota,54,2014
15822 Tota,56,2015
15822 Tota,72,2016
15822 Tota,82,2017
15832 TUNUNGUÁ,19,2008
15832 TUNUNGUÁ,26,2009
15832 Tununguá,9,2010
15832 Tununguá,21,2011
15832 Tununguá,15,2012
15832 Tununguá,18,2013
15832 Tununguá,24,2014
15832 Tununguá,23,2015
15832 Tununguá,22,2016
15832 Tununguá,26,2017
15835 TURMEQUÉ,116,2008
15835 TURMEQUÉ,97,2009
15835 Turmequé,96,2010
15835 Turmequé,80,2011
15835 Turmequé,85,2012
15835 Turmequé,98,2013
15835 Turmequé,67,2014
15835 Turmequé,56,2015
15835 Turmequé,66,2016
15835 Turmequé,68,2017
15837 TUTA,94,2008
15837 TUTA,120,2009
15837 Tuta,105,2010
15837 Tuta,105,2011
15837 Tuta,99,2012
15837 Tuta,102,2013
15837 Tuta,96,2014
15837 Tuta,100,2015
15837 Tuta,117,2016
15837 Tuta,94,2017
15839 TUTAZÁ,30,2008
15839 TUTAZÁ,30,2009
15839 Tutazá,32,2010
15839 Tutazá,30,2011
15839 Tutazá,24,2012
15839 Tutazá,16,2013
15839 Tutazá,20,2014
15839 Tutazá,30,2015
15839 Tutazá,19,2016
15839 Tutazá,21,2017
15842 UMBITA,94,2008
15842 UMBITA,104,2009
15842 Umbita,98,2010
15842 Umbita,97,2011
15842 Umbita,81,2012
15842 Umbita,79,2013
15842 Umbita,75,2014
15842 Umbita,64,2015
15842 Umbita,59,2016
15842 Umbita,68,2017
15861 VENTAQUEMADA,236,2008
15861 VENTAQUEMADA,233,2009
15861 Ventaquemada,242,2010
15861 Ventaquemada,242,2011
15861 Ventaquemada,240,2012
15861 Ventaquemada,239,2013
15861 Ventaquemada,214,2014
15861 Ventaquemada,208,2015
15861 Ventaquemada,191,2016
15861 Ventaquemada,195,2017
15879 VIRACACHÁ,22,2008
15879 VIRACACHÁ,43,2009
15879 Viracachá,25,2010
15879 Viracachá,40,2011
15879 Viracachá,42,2012
15879 Viracachá,33,2013
15879 Viracachá,25,2014
15879 Viracachá,23,2015
15879 Viracachá,19,2016
15879 Viracachá,25,2017
15897 ZETAQUIRA,59,2008
15897 ZETAQUIRA,71,2009
15897 Zetaquira,62,2010
15897 Zetaquira,48,2011
15897 Zetaquira,60,2012
15897 Zetaquira,55,2013
15897 Zetaquira,41,2014
15897 Zetaquira,43,2015
15897 Zetaquira,29,2016
15897 Zetaquira,46,2017
15999 SIN INFORMACIÓN,13,2008
15999 SIN INFORMACIÓN,11,2009
17001 MANIZALES,4463,2008
17001 MANIZALES,4148,2009
17001 Manizales,3979,2010
17001 Manizales,3664,2011
17001 Manizales,3884,2012
17001 Manizales,3811,2013
17001 Manizales,3718,2014
17001 Manizales,3632,2015
17001 Manizales,3649,2016
17001 Manizales,3477,2017
17013 AGUADAS,296,2008
17013 AGUADAS,271,2009
17013 Aguadas,250,2010
17013 Aguadas,239,2011
17013 Aguadas,246,2012
17013 Aguadas,238,2013
17013 Aguadas,215,2014
17013 Aguadas,251,2015
17013 Aguadas,221,2016
17013 Aguadas,201,2017
17042 ANSERMA,476,2008
17042 ANSERMA,418,2009
17042 Anserma,393,2010
17042 Anserma,397,2011
17042 Anserma,377,2012
17042 Anserma,388,2013
17042 Anserma,379,2014
17042 Anserma,313,2015
17042 Anserma,339,2016
17042 Anserma,269,2017
17050 ARANZAZU,164,2008
17050 ARANZAZU,143,2009
17050 Aranzazu,159,2010
17050 Aranzazu,172,2011
17050 Aranzazu,102,2012
17050 Aranzazu,137,2013
17050 Aranzazu,113,2014
17050 Aranzazu,146,2015
17050 Aranzazu,144,2016
17050 Aranzazu,113,2017
17088 BELALCÁZAR,163,2008
17088 BELALCÁZAR,165,2009
17088 Belalcázar,145,2010
17088 Belalcázar,171,2011
17088 Belalcázar,146,2012
17088 Belalcázar,147,2013
17088 Belalcázar,138,2014
17088 Belalcázar,140,2015
17088 Belalcázar,137,2016
17088 Belalcázar,130,2017
17174 CHINCHINÁ,873,2008
17174 CHINCHINÁ,781,2009
17174 Chinchiná,737,2010
17174 Chinchiná,667,2011
17174 Chinchiná,624,2012
17174 Chinchiná,591,2013
17174 Chinchiná,615,2014
17174 Chinchiná,595,2015
17174 Chinchiná,562,2016
17174 Chinchiná,562,2017
17272 FILADELFIA,132,2008
17272 FILADELFIA,112,2009
17272 Filadelfia,123,2010
17272 Filadelfia,115,2011
17272 Filadelfia,117,2012
17272 Filadelfia,85,2013
17272 Filadelfia,90,2014
17272 Filadelfia,68,2015
17272 Filadelfia,90,2016
17272 Filadelfia,81,2017
17380 LA DORADA,1422,2008
17380 LA DORADA,1327,2009
17380 La Dorada,1197,2010
17380 La Dorada,1321,2011
17380 La Dorada,1330,2012
17380 La Dorada,1307,2013
17380 La Dorada,1257,2014
17380 La Dorada,1157,2015
17380 La Dorada,1044,2016
17380 La Dorada,1023,2017
17388 LA MERCED,76,2008
17388 LA MERCED,61,2009
17388 La Merced,57,2010
17388 La Merced,65,2011
17388 La Merced,55,2012
17388 La Merced,59,2013
17388 La Merced,51,2014
17388 La Merced,54,2015
17388 La Merced,60,2016
17388 La Merced,47,2017
17433 MANZANARES,284,2008
17433 MANZANARES,248,2009
17433 Manzanares,229,2010
17433 Manzanares,226,2011
17433 Manzanares,211,2012
17433 Manzanares,189,2013
17433 Manzanares,164,2014
17433 Manzanares,193,2015
17433 Manzanares,189,2016
17433 Manzanares,211,2017
17442 MARMATO,111,2008
17442 MARMATO,131,2009
17442 Marmato,117,2010
17442 Marmato,137,2011
17442 Marmato,110,2012
17442 Marmato,110,2013
17442 Marmato,103,2014
17442 Marmato,115,2015
17442 Marmato,116,2016
17442 Marmato,118,2017
17444 MARQUETALIA,211,2008
17444 MARQUETALIA,186,2009
17444 Marquetalia,176,2010
17444 Marquetalia,177,2011
17444 Marquetalia,159,2012
17444 Marquetalia,130,2013
17444 Marquetalia,139,2014
17444 Marquetalia,169,2015
17444 Marquetalia,146,2016
17444 Marquetalia,188,2017
17446 MARULANDA,40,2008
17446 MARULANDA,43,2009
17446 Marulanda,29,2010
17446 Marulanda,27,2011
17446 Marulanda,19,2012
17446 Marulanda,36,2013
17446 Marulanda,20,2014
17446 Marulanda,21,2015
17446 Marulanda,17,2016
17446 Marulanda,24,2017
17486 NEIRA,326,2008
17486 NEIRA,300,2009
17486 Neira,303,2010
17486 Neira,232,2011
17486 Neira,253,2012
17486 Neira,251,2013
17486 Neira,225,2014
17486 Neira,222,2015
17486 Neira,227,2016
17486 Neira,223,2017
17495 NORCASIA,100,2008
17495 NORCASIA,103,2009
17495 Norcasia,93,2010
17495 Norcasia,113,2011
17495 Norcasia,112,2012
17495 Norcasia,89,2013
17495 Norcasia,86,2014
17495 Norcasia,72,2015
17495 Norcasia,71,2016
17495 Norcasia,88,2017
17513 PÁCORA,181,2008
17513 PÁCORA,148,2009
17513 Pácora,120,2010
17513 Pácora,148,2011
17513 Pácora,163,2012
17513 Pácora,117,2013
17513 Pácora,116,2014
17513 Pácora,119,2015
17513 Pácora,94,2016
17513 Pácora,127,2017
17524 PALESTINA,251,2008
17524 PALESTINA,231,2009
17524 Palestina,235,2010
17524 Palestina,225,2011
17524 Palestina,197,2012
17524 Palestina,195,2013
17524 Palestina,173,2014
17524 Palestina,169,2015
17524 Palestina,179,2016
17524 Palestina,184,2017
17541 PENSILVANIA,338,2008
17541 PENSILVANIA,304,2009
17541 Pensilvania,250,2010
17541 Pensilvania,235,2011
17541 Pensilvania,209,2012
17541 Pensilvania,200,2013
17541 Pensilvania,182,2014
17541 Pensilvania,184,2015
17541 Pensilvania,158,2016
17541 Pensilvania,179,2017
17614 RIOSUCIO,677,2008
17614 RIOSUCIO,589,2009
17614 Riosucio,571,2010
17614 Riosucio,610,2011
17614 Riosucio,634,2012
17614 Riosucio,604,2013
17614 Riosucio,611,2014
17614 Riosucio,545,2015
17614 Riosucio,597,2016
17614 Riosucio,544,2017
17616 RISARALDA,156,2008
17616 RISARALDA,134,2009
17616 Risaralda,131,2010
17616 Risaralda,119,2011
17616 Risaralda,126,2012
17616 Risaralda,97,2013
17616 Risaralda,109,2014
17616 Risaralda,92,2015
17616 Risaralda,101,2016
17616 Risaralda,95,2017
17653 SALAMINA,242,2008
17653 SALAMINA,224,2009
17653 Salamina,198,2010
17653 Salamina,202,2011
17653 Salamina,149,2012
17653 Salamina,150,2013
17653 Salamina,171,2014
17653 Salamina,149,2015
17653 Salamina,153,2016
17653 Salamina,165,2017
17662 SAMANÁ,303,2008
17662 SAMANÁ,261,2009
17662 Samaná,265,2010
17662 Samaná,267,2011
17662 Samaná,236,2012
17662 Samaná,184,2013
17662 Samaná,212,2014
17662 Samaná,201,2015
17662 Samaná,172,2016
17662 Samaná,197,2017
17665 SAN JOSÉ,64,2008
17665 SAN JOSÉ,70,2009
17665 San José,62,2010
17665 San José,63,2011
17665 San José,53,2012
17665 San José,53,2013
17665 San José,61,2014
17665 San José,61,2015
17665 San José,45,2016
17665 San José,57,2017
17777 SUPÍA,368,2008
17777 SUPÍA,304,2009
17777 Supía,289,2010
17777 Supía,287,2011
17777 Supía,268,2012
17777 Supía,337,2013
17777 Supía,346,2014
17777 Supía,317,2015
17777 Supía,314,2016
17777 Supía,310,2017
17867 VICTORIA,114,2008
17867 VICTORIA,109,2009
17867 Victoria,85,2010
17867 Victoria,112,2011
17867 Victoria,95,2012
17867 Victoria,76,2013
17867 Victoria,92,2014
17867 Victoria,88,2015
17867 Victoria,85,2016
17867 Victoria,61,2017
17873 VILLAMARÍA,513,2008
17873 VILLAMARÍA,501,2009
17873 Villamaría,521,2010
17873 Villamaría,544,2011
17873 Villamaría,543,2012
17873 Villamaría,481,2013
17873 Villamaría,559,2014
17873 Villamaría,521,2015
17873 Villamaría,539,2016
17873 Villamaría,498,2017
17877 VITERBO,158,2008
17877 VITERBO,170,2009
17877 Viterbo,165,2010
17877 Viterbo,156,2011
17877 Viterbo,137,2012
17877 Viterbo,119,2013
17877 Viterbo,102,2014
17877 Viterbo,137,2015
17877 Viterbo,114,2016
17877 Viterbo,123,2017
17999 SIN INFORMACIÓN,1,2008
17999 SIN INFORMACIÓN,1,2009
18001 FLORENCIA,3216,2008
18001 FLORENCIA,3377,2009
18001 Florencia,3437,2010
18001 Florencia,3477,2011
18001 Florencia,3449,2012
18001 Florencia,3438,2013
18001 Florencia,3553,2014
18001 Florencia,3446,2015
18001 Florencia,3254,2016
18001 Florencia,3441,2017
18029 ALBANIA,65,2008
18029 ALBANIA,61,2009
18029 Albania,64,2010
18029 Albania,73,2011
18029 Albania,68,2012
18029 Albania,68,2013
18029 Albania,52,2014
18029 Albania,60,2015
18029 Albania,60,2016
18029 Albania,81,2017
18094 BELÉN DE LOS ANDAQUÍES,147,2008
18094 BELÉN DE LOS ANDAQUÍES,164,2009
18094 Belén de Los Andaquíes,168,2010
18094 Belén de Los Andaquíes,163,2011
18094 Belén de Los Andaquíes,161,2012
18094 Belén de Los Andaquíes,157,2013
18094 Belén de Los Andaquíes,140,2014
18094 Belén de Los Andaquíes,148,2015
18094 Belén de Los Andaquíes,161,2016
18094 Belén de Los Andaquíes,169,2017
18150 CARTAGENA DEL CHAIRÁ,342,2008
18150 CARTAGENA DEL CHAIRÁ,370,2009
18150 Cartagena del Chairá,401,2010
18150 Cartagena del Chairá,437,2011
18150 Cartagena del Chairá,586,2012
18150 Cartagena del Chairá,638,2013
18150 Cartagena del Chairá,649,2014
18150 Cartagena del Chairá,587,2015
18150 Cartagena del Chairá,538,2016
18150 Cartagena del Chairá,546,2017
18205 CURILLO,189,2008
18205 CURILLO,222,2009
18205 Curillo,187,2010
18205 Curillo,182,2011
18205 Curillo,211,2012
18205 Curillo,184,2013
18205 Curillo,163,2014
18205 Curillo,171,2015
18205 Curillo,133,2016
18205 Curillo,141,2017
18247 EL DONCELLO,349,2008
18247 EL DONCELLO,338,2009
18247 El Doncello,336,2010
18247 El Doncello,318,2011
18247 El Doncello,308,2012
18247 El Doncello,330,2013
18247 El Doncello,338,2014
18247 El Doncello,288,2015
18247 El Doncello,275,2016
18247 El Doncello,309,2017
18256 EL PAUJIL,288,2008
18256 EL PAUJIL,258,2009
18256 El Paujil,243,2010
18256 El Paujil,237,2011
18256 El Paujil,270,2012
18256 El Paujil,284,2013
18256 El Paujil,233,2014
18256 El Paujil,260,2015
18256 El Paujil,216,2016
18256 El Paujil,230,2017
18410 LA MONTAÑITA,215,2008
18410 LA MONTAÑITA,206,2009
18410 La Montañita,191,2010
18410 La Montañita,246,2011
18410 La Montañita,233,2012
18410 La Montañita,224,2013
18410 La Montañita,171,2014
18410 La Montañita,194,2015
18410 La Montañita,196,2016
18410 La Montañita,184,2017
18460 MILÁN,155,2008
18460 MILÁN,147,2009
18460 Milán,156,2010
18460 Milán,141,2011
18460 Milán,162,2012
18460 Milán,125,2013
18460 Milán,117,2014
18460 Milán,107,2015
18460 Milán,111,2016
18460 Milán,104,2017
18479 MORELIA,66,2008
18479 MORELIA,66,2009
18479 Morelia,55,2010
18479 Morelia,42,2011
18479 Morelia,70,2012
18479 Morelia,63,2013
18479 Morelia,48,2014
18479 Morelia,51,2015
18479 Morelia,60,2016
18479 Morelia,57,2017
18592 PUERTO RICO,486,2008
18592 PUERTO RICO,482,2009
18592 Puerto Rico,487,2010
18592 Puerto Rico,499,2011
18592 Puerto Rico,517,2012
18592 Puerto Rico,508,2013
18592 Puerto Rico,444,2014
18592 Puerto Rico,445,2015
18592 Puerto Rico,401,2016
18592 Puerto Rico,403,2017
18610 SAN JOSÉ DEL FRAGUA,210,2008
18610 SAN JOSÉ DEL FRAGUA,174,2009
18610 San José del Fragua,201,2010
18610 San José del Fragua,223,2011
18610 San José del Fragua,215,2012
18610 San José del Fragua,206,2013
18610 San José del Fragua,228,2014
18610 San José del Fragua,181,2015
18610 San José del Fragua,210,2016
18610 San José del Fragua,228,2017
18753 SAN VICENTE DEL CAGUÁN,920,2008
18753 SAN VICENTE DEL CAGUÁN,928,2009
18753 San Vicente del Caguán,830,2010
18753 San Vicente del Caguán,955,2011
18753 San Vicente del Caguán,1150,2012
18753 San Vicente del Caguán,1106,2013
18753 San Vicente del Caguán,1006,2014
18753 San Vicente del Caguán,1018,2015
18753 San Vicente del Caguán,958,2016
18753 San Vicente del Caguán,996,2017
18756 SOLANO,130,2008
18756 SOLANO,132,2009
18756 Solano,118,2010
18756 Solano,143,2011
18756 Solano,144,2012
18756 Solano,162,2013
18756 Solano,172,2014
18756 Solano,152,2015
18756 Solano,99,2016
18756 Solano,136,2017
18785 SOLITA,190,2008
18785 SOLITA,154,2009
18785 Solita,140,2010
18785 Solita,160,2011
18785 Solita,156,2012
18785 Solita,159,2013
18785 Solita,141,2014
18785 Solita,121,2015
18785 Solita,120,2016
18785 Solita,119,2017
18860 VALPARAÍSO,157,2008
18860 VALPARAÍSO,146,2009
18860 Valparaíso,120,2010
18860 Valparaíso,112,2011
18860 Valparaíso,117,2012
18860 Valparaíso,99,2013
18860 Valparaíso,94,2014
18860 Valparaíso,101,2015
18860 Valparaíso,91,2016
18860 Valparaíso,82,2017
18999 SIN INFORMACIÓN,84,2008
18999 SIN INFORMACIÓN,99,2009
19001 POPAYÁN,4355,2008
19001 POPAYÁN,4396,2009
19001 Popayán,4215,2010
19001 Popayán,4203,2011
19001 Popayán,4247,2012
19001 Popayán,4440,2013
19001 Popayán,4605,2014
19001 Popayán,4814,2015
19001 Popayán,4619,2016
19001 Popayán,4559,2017
19022 ALMAGUER,116,2008
19022 ALMAGUER,168,2009
19022 Almaguer,193,2010
19022 Almaguer,171,2011
19022 Almaguer,190,2012
19022 Almaguer,210,2013
19022 Almaguer,145,2014
19022 Almaguer,180,2015
19022 Almaguer,196,2016
19022 Almaguer,193,2017
19050 ARGELIA,359,2008
19050 ARGELIA,390,2009
19050 Argelia,423,2010
19050 Argelia,373,2011
19050 Argelia,397,2012
19050 Argelia,380,2013
19050 Argelia,380,2014
19050 Argelia,348,2015
19050 Argelia,360,2016
19050 Argelia,376,2017
19075 BALBOA,239,2008
19075 BALBOA,300,2009
19075 Balboa,277,2010
19075 Balboa,259,2011
19075 Balboa,308,2012
19075 Balboa,273,2013
19075 Balboa,277,2014
19075 Balboa,268,2015
19075 Balboa,248,2016
19075 Balboa,289,2017
19100 BOLÍVAR,494,2008
19100 BOLÍVAR,487,2009
19100 Bolívar,527,2010
19100 Bolívar,476,2011
19100 Bolívar,460,2012
19100 Bolívar,501,2013
19100 Bolívar,373,2014
19100 Bolívar,410,2015
19100 Bolívar,412,2016
19100 Bolívar,402,2017
19110 BUENOS AIRES,328,2008
19110 BUENOS AIRES,333,2009
19110 Buenos Aires,298,2010
19110 Buenos Aires,355,2011
19110 Buenos Aires,383,2012
19110 Buenos Aires,346,2013
19110 Buenos Aires,304,2014
19110 Buenos Aires,259,2015
19110 Buenos Aires,317,2016
19110 Buenos Aires,382,2017
19130 CAJIBÍO,581,2008
19130 CAJIBÍO,567,2009
19130 Cajibío,590,2010
19130 Cajibío,510,2011
19130 Cajibío,549,2012
19130 Cajibío,535,2013
19130 Cajibío,515,2014
19130 Cajibío,485,2015
19130 Cajibío,479,2016
19130 Cajibío,522,2017
19137 CALDONO,299,2008
19137 CALDONO,284,2009
19137 Caldono,312,2010
19137 Caldono,351,2011
19137 Caldono,415,2012
19137 Caldono,433,2013
19137 Caldono,423,2014
19137 Caldono,506,2015
19137 Caldono,563,2016
19137 Caldono,504,2017
19142 CALOTO,353,2008
19142 CALOTO,344,2009
19142 Caloto,385,2010
19142 Caloto,441,2011
19142 Caloto,366,2012
19142 Caloto,379,2013
19142 Caloto,323,2014
19142 Caloto,384,2015
19142 Caloto,394,2016
19142 Caloto,419,2017
19212 CORINTO,344,2008
19212 CORINTO,399,2009
19212 Corinto,387,2010
19212 Corinto,404,2011
19212 Corinto,379,2012
19212 Corinto,388,2013
19212 Corinto,377,2014
19212 Corinto,389,2015
19212 Corinto,376,2016
19212 Corinto,389,2017
19256 EL TAMBO,713,2008
19256 EL TAMBO,724,2009
19256 El Tambo,665,2010
19256 El Tambo,554,2011
19256 El Tambo,620,2012
19256 El Tambo,585,2013
19256 El Tambo,537,2014
19256 El Tambo,537,2015
19256 El Tambo,472,2016
19256 El Tambo,561,2017
19290 FLORENCIA,87,2008
19290 FLORENCIA,90,2009
19290 Florencia,86,2010
19290 Florencia,83,2011
19290 Florencia,76,2012
