,Municipality,Year,Month,Births,Farc Violence,Total Violence,Ratio,post15,post13,FARC
197,18150,2008,3,16,2,3,0.6666666666666666,0,0,0
198,18150,2008,5,26,1,3,0.3333333333333333,0,0,0
199,18150,2008,11,12,0,1,0.0,0,0,0
200,18150,2008,10,16,0,2,0.0,0,0,0
201,18150,2008,9,16,1,1,1.0,0,0,0
202,18205,2008,2,15,0,1,0.0,0,0,0
203,18205,2008,7,13,0,1,0.0,0,0,0
204,18205,2008,3,9,0,1,0.0,0,0,0
205,18205,2008,5,13,1,1,1.0,0,0,1
206,18205,2008,11,9,1,1,1.0,0,0,0
207,18247,2008,8,16,0,1,0.0,0,0,0
208,18247,2008,1,22,0,1,0.0,0,0,0
209,18247,2008,7,18,0,1,0.0,0,0,0
210,18247,2008,3,20,1,1,1.0,0,0,1
211,18247,2008,5,16,1,1,1.0,0,0,1
212,18247,2008,11,11,0,2,0.0,0,0,0
213,18247,2008,9,14,1,1,1.0,0,0,0
214,18256,2008,4,1,1,1,1.0,0,0,1
215,18256,2008,1,20,0,2,0.0,0,0,0
216,18256,2008,2,11,0,1,0.0,0,0,0
217,18256,2008,6,24,1,1,1.0,0,0,1
218,18256,2008,5,15,0,1,0.0,0,0,0
219,18256,2008,10,9,1,1,1.0,0,0,0
220,18256,2008,9,16,0,1,0.0,0,0,0
221,18410,2008,4,1,0,3,0.0,0,0,0
222,18410,2008,8,11,0,1,0.0,0,0,0
223,18410,2008,1,4,0,2,0.0,0,0,0
224,18410,2008,2,8,2,11,0.1818181818181818,0,0,0
225,18410,2008,7,13,3,3,1.0,0,0,0
226,18410,2008,6,9,0,3,0.0,0,0,0
227,18410,2008,3,9,3,5,0.6,0,0,0
228,18410,2008,5,6,2,6,0.3333333333333333,0,0,0
229,18410,2008,11,8,0,2,0.0,0,0,0
230,18410,2008,10,9,1,2,0.5,0,0,0
231,18410,2008,9,5,3,6,0.5,0,0,0
232,18460,2008,4,1,0,1,0.0,0,0,0
233,18460,2008,1,6,1,1,1.0,0,0,1
234,18460,2008,3,8,1,1,1.0,0,0,1
235,18460,2008,5,4,0,1,0.0,0,0,0
236,18460,2008,11,4,1,1,1.0,0,0,0
237,18460,2008,10,4,0,1,0.0,0,0,0
238,18460,2008,9,5,0,1,0.0,0,0,0
239,18479,2008,10,0,1,1,1.0,0,0,0
240,18592,2008,4,2,2,3,0.6666666666666666,0,0,0
241,18592,2008,8,25,1,3,0.3333333333333333,0,0,0
242,18592,2008,12,13,1,1,1.0,0,0,0
243,18592,2008,1,18,1,2,0.5,0,0,0
244,18592,2008,2,17,2,2,1.0,0,0,1
245,18592,2008,7,17,0,1,0.0,0,0,0
246,18592,2008,6,19,1,2,0.5,0,0,0
247,18592,2008,3,22,0,2,0.0,0,0,0
248,18592,2008,5,16,0,3,0.0,0,0,0
249,18592,2008,11,17,2,4,0.5,0,0,0
250,18592,2008,10,21,0,2,0.0,0,0,0
251,18592,2008,9,25,2,3,0.6666666666666666,0,0,0
252,18610,2008,4,4,0,1,0.0,0,0,0
253,18610,2008,12,14,1,2,0.5,0,0,0
254,18610,2008,6,15,0,1,0.0,0,0,0
255,18610,2008,3,10,1,5,0.2,0,0,0
256,18610,2008,5,6,0,2,0.0,0,0,0
257,18753,2008,4,29,1,1,1.0,0,0,1
258,18753,2008,8,46,2,3,0.6666666666666666,0,0,0
259,18753,2008,12,37,5,14,0.3571428571428571,0,0,0
260,18753,2008,1,43,5,7,0.7142857142857143,0,0,0
261,18753,2008,2,50,0,3,0.0,0,0,0
262,18753,2008,7,29,5,10,0.5,0,0,0
263,18753,2008,3,39,4,9,0.4444444444444444,0,0,0
264,18753,2008,5,41,0,3,0.0,0,0,0
265,18753,2008,11,23,0,3,0.0,0,0,0
266,18753,2008,10,34,6,15,0.4,0,0,0
267,18753,2008,9,32,8,14,0.5714285714285714,0,0,0
268,18756,2008,4,5,1,3,0.3333333333333333,0,0,0
269,18756,2008,8,5,0,2,0.0,0,0,0
270,18756,2008,1,2,1,1,1.0,0,0,1
271,18756,2008,7,3,0,1,0.0,0,0,0
272,18756,2008,11,9,0,1,0.0,0,0,0
273,18756,2008,9,10,0,2,0.0,0,0,0
274,18785,2008,2,9,1,1,1.0,0,0,1
275,18785,2008,3,11,0,1,0.0,0,0,0
276,18785,2008,10,11,0,1,0.0,0,0,0
277,18860,2008,4,13,0,1,0.0,0,0,0
278,18860,2008,8,5,0,1,0.0,0,0,0
279,18860,2008,12,6,0,2,0.0,0,0,0
280,18860,2008,1,11,0,1,0.0,0,0,0
281,18860,2008,2,9,2,2,1.0,0,0,1
282,18860,2008,7,5,0,1,0.0,0,0,0
283,18860,2008,3,12,0,1,0.0,0,0,0
284,18860,2008,9,1,0,1,0.0,0,0,0
285,20001,2008,4,891,0,2,0.0,0,0,0
286,20001,2008,8,1003,0,4,0.0,0,0,0
287,20001,2008,1,897,0,5,0.0,0,0,0
288,20001,2008,2,825,0,2,0.0,0,0,0
289,20001,2008,7,1032,0,1,0.0,0,0,0
290,20001,2008,6,972,0,3,0.0,0,0,0
291,20001,2008,3,930,0,4,0.0,0,0,0
292,20001,2008,11,1017,0,3,0.0,0,0,0
293,20001,2008,10,1128,0,2,0.0,0,0,0
