,Municipality,Year,Month,Births,FARC Involvement,Total Violence,FARC Violence,Ratio
193,27205,2008,3,14,1,1,1,1.0
194,27250,2008,2,2,1,1,1,1.0
195,27250,2008,6,2,0,1,0,0.0
196,27250,2008,6,2,1,1,1,1.0
197,27372,2008,6,2,1,1,1,1.0
198,27413,2008,5,8,1,1,1,1.0
199,27425,2008,7,1,1,1,1,1.0
200,27425,2008,3,4,1,2,2,1.0
201,27425,2008,10,1,1,1,1,1.0
202,27491,2008,4,0,0,1,0,0.0
203,27491,2008,4,0,1,2,2,1.0
204,27491,2008,3,2,1,2,2,1.0
205,27491,2008,11,2,1,2,2,1.0
206,27495,2008,1,6,1,2,2,1.0
207,27495,2008,3,1,0,2,0,0.0
208,27495,2008,3,1,1,1,1,1.0
209,27615,2008,5,13,1,1,1,1.0
210,27615,2008,10,14,0,1,0,0.0
211,27615,2008,10,14,1,1,1,1.0
212,27660,2008,6,5,1,1,1,1.0
213,27787,2008,6,14,1,1,1,1.0
214,41001,2008,4,816,0,2,0,0.0
215,41001,2008,4,816,1,1,1,1.0
216,41001,2008,2,758,0,4,0,0.0
217,41001,2008,2,758,1,1,1,1.0
218,41001,2008,7,800,1,1,1,1.0
219,41001,2008,6,769,0,1,0,0.0
220,41001,2008,6,769,1,2,2,1.0
221,41001,2008,5,811,0,3,0,0.0
222,41001,2008,5,811,1,1,1,1.0
223,41001,2008,10,793,0,3,0,0.0
224,41001,2008,10,793,1,4,4,1.0
225,41001,2008,9,817,0,1,0,0.0
226,41001,2008,9,817,1,1,1,1.0
227,41016,2008,12,6,0,1,0,0.0
228,41016,2008,12,6,1,1,1,1.0
229,41016,2008,6,7,1,1,1,1.0
230,41016,2008,5,12,0,1,0,0.0
231,41016,2008,5,12,1,1,1,1.0
232,41020,2008,4,21,1,1,1,1.0
233,41020,2008,8,18,0,1,0,0.0
234,41020,2008,8,18,1,2,2,1.0
235,41020,2008,2,19,0,1,0,0.0
236,41020,2008,2,19,1,1,1,1.0
237,41020,2008,7,26,1,1,1,1.0
238,41020,2008,3,25,0,1,0,0.0
239,41020,2008,3,25,1,2,2,1.0
240,41020,2008,10,21,1,1,1,1.0
241,41020,2008,9,19,1,1,1,1.0
242,41026,2008,9,3,1,1,1,1.0
243,41078,2008,6,7,1,1,1,1.0
244,41078,2008,11,4,1,1,1,1.0
245,41078,2008,10,6,0,1,0,0.0
246,41078,2008,10,6,1,1,1,1.0
247,41132,2008,4,16,1,1,1,1.0
248,41132,2008,2,19,0,1,0,0.0
249,41132,2008,2,19,1,1,1,1.0
250,41132,2008,5,30,1,1,1,1.0
251,41132,2008,10,15,0,1,0,0.0
252,41132,2008,10,15,1,1,1,1.0
253,41132,2008,9,23,1,1,1,1.0
254,41206,2008,8,7,1,2,2,1.0
255,41206,2008,12,4,0,2,0,0.0
256,41206,2008,12,4,1,1,1,1.0
257,41206,2008,1,6,0,1,0,0.0
258,41206,2008,1,6,1,1,1,1.0
259,41206,2008,2,9,1,1,1,1.0
260,41206,2008,9,10,0,1,0,0.0
261,41206,2008,9,10,1,1,1,1.0
262,41298,2008,7,212,1,1,1,1.0
263,41298,2008,6,186,1,2,2,1.0
264,41306,2008,4,19,1,1,1,1.0
265,41349,2008,5,3,1,1,1,1.0
266,41357,2008,6,8,0,1,0,0.0
267,41357,2008,6,8,1,1,1,1.0
268,41396,2008,6,128,1,1,1,1.0
269,41396,2008,5,130,0,1,0,0.0
270,41396,2008,5,130,1,1,1,1.0
271,41396,2008,9,143,0,1,0,0.0
272,41396,2008,9,143,1,1,1,1.0
273,41524,2008,12,13,1,3,3,1.0
274,41551,2008,9,396,1,1,1,1.0
275,41660,2008,9,10,1,1,1,1.0
276,41770,2008,5,11,1,1,1,1.0
277,41799,2008,1,5,1,1,1,1.0
278,44001,2008,2,366,0,1,0,0.0
279,44001,2008,2,366,1,2,2,1.0
280,44001,2008,5,358,0,1,0,0.0
281,44001,2008,5,358,1,3,3,1.0
282,44078,2008,5,29,1,1,1,1.0
283,44430,2008,5,217,1,1,1,1.0
284,44650,2008,3,148,0,1,0,0.0
285,44650,2008,3,148,1,2,2,1.0
286,44855,2008,7,1,0,1,0,0.0
287,44855,2008,7,1,1,2,2,1.0
288,47001,2008,12,991,0,3,0,0.0
289,47001,2008,12,991,1,1,1,1.0
290,47053,2008,4,12,0,2,0,0.0
291,47053,2008,4,12,1,1,1,1.0
292,47798,2008,1,9,1,1,1,1.0
293,50001,2008,8,939,0,6,0,0.0
294,50001,2008,8,939,1,1,1,1.0
295,50001,2008,3,961,0,5,0,0.0
296,50001,2008,3,961,1,1,1,1.0
297,50001,2008,5,954,0,5,0,0.0
298,50001,2008,5,954,1,1,1,1.0
299,50006,2008,1,57,0,1,0,0.0
300,50006,2008,1,57,1,1,1,1.0
301,5001,2008,4,3490,0,10,0,0.0
302,5001,2008,4,3490,1,1,1,1.0
303,5001,2008,1,3710,0,27,0,0.0
304,5001,2008,1,3710,1,2,2,1.0
305,5001,2008,9,3900,0,14,0,0.0
306,5001,2008,9,3900,1,1,1,1.0
307,5002,2008,1,13,0,1,0,0.0
308,5002,2008,1,13,1,1,1,1.0
309,50223,2008,12,4,1,3,3,1.0
310,50251,2008,12,7,1,1,1,1.0
311,50251,2008,1,9,1,1,1,1.0
312,50251,2008,7,1,0,1,0,0.0
313,50251,2008,7,1,1,2,2,1.0
314,50251,2008,6,3,1,1,1,1.0
315,50313,2008,12,172,0,3,0,0.0
316,50313,2008,12,172,1,1,1,1.0
317,50313,2008,5,162,0,3,0,0.0
318,50313,2008,5,162,1,1,1,1.0
319,50325,2008,4,1,0,1,0,0.0
320,50325,2008,4,1,1,2,2,1.0
321,50325,2008,8,3,1,1,1,1.0
322,50325,2008,12,1,0,1,0,0.0
323,50325,2008,12,1,1,1,1,1.0
324,50325,2008,1,2,1,2,2,1.0
325,50325,2008,3,2,1,2,2,1.0
326,50325,2008,5,3,0,1,0,0.0
327,50325,2008,5,3,1,1,1,1.0
328,50325,2008,10,1,1,4,4,1.0
329,50330,2008,4,4,0,1,0,0.0
330,50330,2008,4,4,1,3,3,1.0
331,50330,2008,1,10,1,1,1,1.0
332,50330,2008,7,6,0,3,0,0.0
333,50330,2008,7,6,1,1,1,1.0
334,50330,2008,3,5,0,2,0,0.0
335,50330,2008,3,5,1,1,1,1.0
336,50330,2008,5,7,0,1,0,0.0
337,50330,2008,5,7,1,1,1,1.0
338,50330,2008,11,4,1,2,2,1.0
